ID,Cortex,whiteMatter,csf,deepGrayMatter,meanFA_WM,meanMD_WM,1002,1003,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1034,1035,2002,2003,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2034,2035
7002,216285,171199,79550,29056,0.24654,1.28156,2420.46,3946.299,2210.054,719.81,2982.07,5824.133,3178.238,2169.713,8520.652,2388.82,3564.246,740.376,4741.254,1843.821,1788.451,1796.361,585.34,1525.839,1675.338,5113.815,2925.909,7536.648,4511.864,2115.925,6574.001,4841.711,5120.143,5908.77,4875.724,527.597,4515.819,1582,3186.939,1926.085,713.482,2917.208,5862.101,3525.487,2203.726,6648.355,2646.686,3942.344,713.482,4772.103,1727.544,1783.705,2257.514,536.298,1428.546,1673.756,5192.124,2476.621,6480.663,6180.874,1252.944,5132.008,6206.186,4764.984,4648.707,5028.387,521.269,5612.936
7003,210181,165269,75817,30554,0.28969,1.12264,2917.999,3756.459,2042.362,909.65,3422.657,4919.229,4021.444,2566.004,6193.53,2372.209,3241.518,1181.754,5062.4,1278.256,971.348,2317.63,586.922,1807.435,1066.268,5036.297,3492.265,8012.83,5239.584,2720.249,5198.452,6305.852,4404.288,5349.533,4412.989,499.912,4040.428,1649.235,2610.3,1750.483,478.555,2633.239,5892.95,3303.216,1990.156,5953.857,2964.668,3346.721,1005.361,5495.077,1157.233,2320.794,2192.652,568.729,1443.575,1201.529,3817.366,2530.409,5234.047,5393.038,1949.815,4988.837,8480.311,3769.115,4679.556,4745.209,598.787,5210.317
7004,227050,160120,109967,30134,0.23942,1.239,2477.53272,3453.11616,2367.66972,811.52136,3548.81904,5391.58776,4045.88808,2043.4518,6895.97844,4073.23176,3760.73256,1878.41316,5236.31472,1579.09752,1689.93708,2087.88528,917.47812,1965.327,1536.61716,5497.54452,3182.60904,6741.19368,4950.67092,2754.87576,5122.0572,7915.99536,5568.8334,5909.16456,5040.02616,528.80724,3955.068,1792.47588,3228.99564,2059.56504,624.9984,3176.74968,5900.37552,3710.43972,2124.018,6928.20492,4017.07956,4827.62436,1416.50028,4652.82012,1561.51944,1734.85884,1519.03908,920.89608,1688.47224,1533.68748,4552.23444,2321.28312,6104.96484,5035.63164,1783.19856,5975.57064,9289.03872,5961.41052,4794.9096,4770.98388,578.6118,4105.94652
7005,187040,154580,40642,26024,0.21782,1.25774,1977.04572,2751.4578,1667.4762,597.16644,2818.35216,4935.04596,3227.5308,1652.33952,4751.94096,3117.17952,2833.97712,1554.19524,4377.4302,1074.216,1577.1444,1658.68716,524.901,1563.96084,1246.57884,4709.94888,2268.54888,5351.5488,3851.06436,2360.34552,3998.03664,8168.9244,4478.01588,4882.8,3989.73588,544.4322,3555.16668,1160.64156,2369.62284,1676.26524,459.95976,2386.22436,5034.1668,3390.61632,1409.66436,5068.3464,2738.27424,3357.41328,1226.55936,4601.55072,1073.23944,1603.51152,1875.97176,483.88548,1127.9268,1420.40652,4470.69168,2385.2478,5394.02916,4201.16112,1596.18732,4308.09444,9132.30084,4649.89044,4719.2262,3761.70912,432.1278,4429.18788
7006,215934,165731,63324,29263,0.21701,1.37114,2474.60304,3121.08576,1876.94832,611.81484,3349.11252,5528.79444,4073.72004,1602.53496,6973.12668,2817.3756,3614.24856,1789.5462,4865.7102,1227.53592,2614.25112,1751.94864,541.50252,1755.3666,1812.49536,4487.2932,2835.44196,6466.78032,5219.22492,2766.1062,4419.42228,8636.69664,4937.97564,5637.1926,4492.176,622.557,3979.97028,1408.19952,2679.68064,2168.93976,584.47116,3249.01512,5723.12988,4078.60284,1774.40952,6823.22472,3731.92404,4109.85276,1665.0348,4939.92876,1534.17576,2373.0408,2169.42804,637.2054,1348.14108,1982.90508,4816.39392,2403.80244,6082.50396,4900.37808,1818.843,4558.58208,9562.9638,4744.12848,5444.81028,4371.08256,477.04956,4201.16112
7008,170177,139214,46507,25565,0.25297,1.22778,1514.64456,2581.53636,936.52104,275.38992,3172.35516,4664.53884,2883.78168,2026.362,5996.56668,1912.59276,2741.6922,819.82212,3962.88048,1149.41112,1583.00376,1259.7624,325.68276,1512.69144,208.00728,2805.1686,2071.28376,4201.16112,3982.89996,1840.32732,3182.12076,5859.36,4689.44112,4959.94824,4333.485,304.19844,2790.03192,1142.08692,2699.70012,1227.04764,374.99904,3105.94908,4369.61772,2418.45084,1673.82384,4945.29984,2525.87244,2714.8368,739.25592,3984.85308,706.05288,2033.6862,1414.05888,100.58568,685.05684,380.37012,2620.11048,1873.04208,5045.88552,4415.02776,1209.46956,3651.35784,8798.31732,3870.10728,3657.70548,3384.75696,425.78016,3948.23208
7009,208878,168243,28664,27841,0.25071,1.26521,2615.71596,2716.78992,1731.44088,734.8614,3438.95604,4764.14796,3895.00956,2121.08832,5043.9324,3365.71404,2571.28248,1906.7334,4386.70752,1214.35236,2010.24876,1945.30752,829.58772,1512.69144,1295.89512,4826.15952,3132.80448,5675.76672,5292.46692,3136.22244,4989.73332,8472.14628,4301.25852,5236.31472,3541.98312,633.78744,4314.44208,1626.94896,2989.73844,1831.53828,596.67816,2653.8018,6443.83116,3113.76156,1647.945,7145.00124,2769.52416,2823.72324,1429.68384,4491.68772,805.662,1944.33096,2242.18176,577.63524,1410.15264,1090.32924,4741.1988,2476.06788,6144.51552,4722.64416,1548.82416,4452.62532,9706.02984,5503.40388,5033.19024,5629.38012,612.7914,4759.75344
7010,182968,139540,72871,27371,0.24652,1.28403,1576.16784,2346.67368,1548.82416,407.7138,4216.78608,5696.27448,2775.38352,1376.9496,5746.56732,2397.94308,3431.14356,1254.8796,4122.54804,1104.00108,1458.00408,1439.93772,455.56524,1446.77364,1157.2236,4805.16348,1990.22928,5713.36428,3818.3496,1969.72152,3720.20532,5398.91196,4559.07036,4771.96044,3765.12708,648.92412,3207.9996,1305.17244,2252.43564,1789.5462,390.13572,3507.31524,5412.5838,2880.36372,1681.14804,6069.3204,2805.1686,3377.43276,1025.87628,3891.5916,1130.85648,1924.79976,1640.13252,476.073,1145.99316,1536.12888,4149.40344,2250.9708,5424.7908,4209.46188,1303.21932,3975.57576,7972.63584,5120.10408,3974.11092,4355.4576,538.57284,3827.62692
7011,193027,153800,61801,26997,0.25066,1.29167,1808.58912,2990.715,1819.33128,637.2054,3318.35088,4917.46788,3368.15544,1597.65216,6262.67928,2112.78756,2917.96128,1221.18828,4296.864,1004.88024,1825.19064,1876.94832,504.39324,1125.4854,1016.59896,3899.40408,2050.776,5520.98196,4557.60552,2224.1154,4201.16112,7551.2502,4282.2156,5196.76404,3880.84944,477.04956,4080.55596,1698.72612,2762.68824,1747.06584,500.487,3081.0468,5695.7862,3467.27628,1619.13648,6014.63304,2659.17288,3116.20296,1208.00472,4829.57748,1229.97732,1866.69444,1990.22928,591.79536,1087.39956,1378.90272,4025.8686,2063.47128,6056.13684,4941.88188,1407.71124,3917.47044,8992.16448,4547.83992,5184.55704,4033.1928,372.55764,4886.70624
